Master ID,Item ID,Parent ID,Menu Name,Menu Group,Subgroup,Menu Item,Avg Price,Item Qty,Gross Amount,Discount Amount,Net Amount,% Qty (Group),% Qty (Menu),% Qty (All),% Net Amt (Group),% Net Amt (Menu),% Net Amt (All)
1600000000375910618,1600000000375910617,1600000000375910612,Food Menu,Pita Crave,,Steak Pitawich,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0
1600000000375910620,1600000000375910619,1600000000375910612,Food Menu,Pita Crave,,Falafel Pitawich,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0
1600000000375910622,1600000000375910621,,Food Menu,Philly Station,,,13.99,1.0,13.99,0.00,13.99,0,0.058823529411764705,0.018518518518518517,0,0.0651394515062625,0.0314240790655885
1600000000375910624,1600000000375910623,1600000000375910622,Food Menu,Philly Station,,Grill Chicken Philly Melt,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0
1600000000375910626,1600000000375910625,1600000000375910622,Food Menu,Philly Station,,Crispy Chicken Philly Crunch,13.99,1.0,13.99,0.00,13.99,1.0,0.058823529411764705,0.018518518518518517,1.0,0.0651394515062625,0.0314240790655885
1600000000375910628,1600000000375910627,1600000000375910622,Food Menu,Philly Station,,Cheese Steak Philly Melt,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0
1600000000375910630,1600000000375910629,1600000000375910622,Food Menu,Philly Station,,Chop Cheese Philly Melt,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0
1600000000375910632,1600000000375910631,1600000000375910622,Food Menu,Philly Station,,Heavy Duty Philly Supreme,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0
1600000000375910634,1600000000375910633,,Food Menu,Grill and Chill Platters,,,14.99,1.0,14.99,0.00,14.99,0,0.058823529411764705,0.018518518518518517,0,0.06979559528798249,0.03367026055705301
1600000000375910636,1600000000375910635,1600000000375910634,Food Menu,Grill and Chill Platters,,Grill Chicken Power Platter,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0
1600000000375910638,1600000000375910637,1600000000375910634,Food Menu,Grill and Chill Platters,,Crispy Chicken Platter,14.99,1.0,14.99,0.00,14.99,1.0,0.058823529411764705,0.018518518518518517,1.0,0.06979559528798249,0.03367026055705301
1600000000375910640,1600000000375910639,1600000000375910634,Food Menu,Grill and Chill Platters,,Beast Combo Platter,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0
1600000000375910642,1600000000375910641,1600000000375910634,Food Menu,Grill and Chill Platters,,Falafel Fiesta Platter,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0
1600000000375910644,1600000000375910643,1600000000375910634,Food Menu,Grill and Chill Platters,,Crispy Catch Platter,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0
1600000000375910646,1600000000375910645,1600000000375910634,Food Menu,Grill and Chill Platters,,Baja Shrimp Platter,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0
1600000000375910648,1600000000375910647,1600000000375910634,Food Menu,Grill and Chill Platters,,Steak Supreme Platter,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0
1600000000409985513,1600000000409832645,1600000000375910634,Food Menu,Grill and Chill Platters,,Lamb Platter,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0
1600000000375910650,1600000000375910649,,Food Menu,Salads,,,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0
1600000000375910652,1600000000375910651,1600000000375910650,Food Menu,Salads,,Chicken Power Bowl,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0
1600000000375910654,1600000000375910653,1600000000375910650,Food Menu,Salads,,Lamb Garden Bowl,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0
1600000000375910656,1600000000375910655,1600000000375910650,Food Menu,Salads,,Falafel Crunch Bowl,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0
1600000000375910658,1600000000375910657,1600000000375910650,Food Menu,Salads,,Steak House Salad,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0
1600000000375910660,1600000000375910659,,Food Menu,Desserts,,,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0
1600000000375910662,1600000000375910661,1600000000375910660,Food Menu,Desserts,,Nutella Cheese Cake,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0
1600000000375910664,1600000000375910663,1600000000375910660,Food Menu,Desserts,,Cheese Cake,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0
1600000000375910666,1600000000375910665,1600000000375910660,Food Menu,Desserts,,Leches Cake,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0
1600000000375910668,1600000000375910667,1600000000375910660,Food Menu,Desserts,,Red Velvet Cake,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0
1600000000375910670,1600000000375910669,1600000000375910660,Food Menu,Desserts,,Carrot Cake,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0
1600000000375910672,1600000000375910671,,Food Menu,Thick Shakes,,,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0
1600000000375910675,1600000000375910674,1600000000375910672,Food Menu,Thick Shakes,,Vanila Vibe,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0
1600000000375910678,1600000000375910677,1600000000375910672,Food Menu,Thick Shakes,,Choclate Rush,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0
