Master ID,Item ID,Parent ID,Menu Name,Menu Group,Subgroup,Menu Item,Avg Price,Item Qty,Gross Amount,Discount Amount,Net Amount,% Qty (Group),% Qty (Menu),% Qty (All),% Net Amt (Group),% Net Amt (Menu),% Net Amt (All)
,,,ALL MENUS,,,,9.58572871883061,4462.0,41840.10,1933.90,39906.20,0,0,0,0,0,0
,,,Food Menu,,,,14.433736578382248,1355.0,19420.00,1518.87,17901.13,0,0,0.3036754818467055,0,0,0.44858017049982213
1600000000375910510,1600000000375910509,,Food Menu,Appetizers,,,13.20,411.0,5426.07,298.07,5128.00,0,0.3033210332103321,0.09211116091438816,0,0.28646236299049277,0.12850133563205718
1600000000375910512,1600000000375910511,1600000000375910510,Food Menu,Appetizers,,Chicken Wings,13.094505494505494,88.0,1152.63,81.43,1071.20,0.2141119221411192,0.06494464944649446,0.019722097714029583,0.2088923556942278,0.05983979782281901,0.026842946710035034
1600000000375910514,1600000000375910513,1600000000375910510,Food Menu,Appetizers,,Crispy Fish,12.989999999999998,22.0,285.78,22.09,263.69,0.0535279805352798,0.016236162361623615,0.004930524428507396,0.05142160686427457,0.014730355011108236,0.006607745162405842
1600000000375910516,1600000000375910515,1600000000375910510,Food Menu,Appetizers,,Fried Shrimp,13.99,14.0,195.86,0.00,195.86,0.0340632603406326,0.010332103321033211,0.0031376064545047063,0.038194227769110765,0.010941208739336567,0.0049080092817657415
1600000000375910518,1600000000375910517,1600000000375910510,Food Menu,Appetizers,,Chicken Tenders,11.865,16.0,189.84,11.99,177.85,0.038929440389294405,0.011808118081180811,0.003585835948005379,0.03468213728549142,0.009935127000362545,0.004456700963760017
1600000000375910520,1600000000375910519,1600000000375910510,Food Menu,Appetizers,,Loaded Fries,12.772739726027396,71.0,905.15,67.90,837.25,0.17274939172749393,0.05239852398523985,0.01591214701927387,0.16327028081123246,0.046770790447306955,0.020980449153264406
1600000000454770812,1600000000454732125,1600000000375910510,Food Menu,Appetizers,,Wing Wednesday,9.0,19.0,171.00,7.87,163.13,0.046228710462287104,0.014022140221402213,0.004258180188256387,0.031811622464898597,0.009112832541856295,0.004087835975362225
1600000000631459782,1600000000631459781,1600000000375910510,Food Menu,Appetizers,,15 Game Day Wings,24.983333333333334,3.0,74.95,0.00,74.95,0.0072992700729927005,0.002214022140221402,6.723442402510085E-4,0.014615834633385337,0.0041868865261578455,0.0018781542717672946
1600000000645346593,1600000000645346592,1600000000375910510,Food Menu,Appetizers,,777,14.398970588235294,68.0,979.13,30.55,948.58,0.1654501216545012,0.05018450184501845,0.01523980277902286,0.1849804992199688,0.052989950913713266,0.023770241215650703
1600000000698429037,1600000000698429036,1600000000375910510,Food Menu,Appetizers,,Manchurian,13.943181818181818,20.0,278.77,31.18,247.59,0.04866180048661801,0.014760147601476014,0.0044822949350067235,0.04828198127925117,0.013830970447117025,0.0062042990813457564
1600000000723131341,1600000000723131340,1600000000375910510,Food Menu,Appetizers,,Jungle Fire,14.64341463414634,41.0,600.38,5.80,594.58,0.09975669099756691,0.03025830258302583,0.009188704616763783,0.11594773790951639,0.0332146629849624,0.014899439184888565
1600000000876248613,1600000000876248612,1600000000375910510,Food Menu,Appetizers,,$5 Wings,5.585,9.0,50.20,0.50,49.70,0.021897810218978103,0.006642066420664207,0.0020170327207530256,0.009691887675507022,0.0027763610453641753,0.0012454205110985263
1600000001158621026,1600000001158621025,1600000000375910510,Food Menu,Appetizers,,Samosa Supreme,8.49,2.0,16.98,0.98,16.00,0.004866180048661801,0.0014760147601476014,4.4822949350067237E-4,0.0031201248049922,8.937983244633159E-4,4.0094020478020963E-4
1600000001202042518,1600000001202042517,1600000000375910510,Food Menu,Appetizers,,Paneer and  Cheese croquettes,12.99,3.0,38.97,1.50,37.47,0.0072992700729927005,0.002214022140221402,6.723442402510085E-4,0.007306942277691107,0.0020931639511025278,9.389518420696534E-4
1600000000723131343,1600000000723131342,1600000000375910510,Food Menu,Appetizers,,Jungle Fire Paneeer,13.911333333333333,14.0,194.68,15.39,179.29,0.0340632603406326,0.010332103321033211,0.0031376064545047063,0.03496294851794072,0.010015568849564244,0.004492785582190236
1600000000723131345,1600000000723131344,1600000000375910510,Food Menu,Appetizers,,Jungle Fire Mushroom,13.99,5.0,69.95,2.80,67.15,0.012165450121654502,0.0036900369003690036,0.0011205737337516809,0.01309477379095164,0.0037511598429819794,0.0016826959219369425
1600000000375910522,1600000000375910521,1600000000375910510,Food Menu,Appetizers,,Chicken Samurai,12.99,4.0,51.96,1.30,50.66,0.009732360097323601,0.002952029520295203,8.964589870013447E-4,0.00987909516380655,0.002829988944831974,0.0012694769233853385
1600000000723131349,1600000000723131348,1600000000375910510,Food Menu,Appetizers,,Jungle Green Mushroom,13.49,4.0,53.96,0.00,53.96,0.009732360097323601,0.002952029520295203,8.964589870013447E-4,0.010522620904836194,0.003014334849252533,0.001352170840621257
1600000000723132451,1600000000723132450,1600000000375910510,Food Menu,Appetizers,,Jungle Green Paneer,14.48,4.0,57.92,1.40,56.52,0.009732360097323601,0.002952029520295203,8.964589870013447E-4,0.011021840873634945,0.003157342581166664,0.0014163212733860906
1600000000645346597,1600000000645346596,1600000000375910510,Food Menu,Appetizers,,Chicken Samurai,13.99,2.0,27.98,15.39,12.59,0.004866180048661801,0.0014760147601476014,4.4822949350067237E-4,0.002455148205928237,7.033075565620717E-4,3.1548982363642747E-4
1600000000723131347,1600000000723131346,1600000000375910510,Food Menu,Appetizers,,Jungle Green Chicken,13.99,1.0,13.99,0.00,13.99,0.0024330900243309003,7.380073800738007E-4,2.2411474675033618E-4,0.0027281591263650547,7.815149099526119E-4,3.505720915546958E-4
1600000001102450011,1600000001102450010,1600000000375910510,Food Menu,Appetizers,,Jungle Fire Shrimp,15.99,1.0,15.99,0.00,15.99,0.0024330900243309003,7.380073800738007E-4,2.2411474675033618E-4,0.0031181747269890796,8.932397005105264E-4,4.00689617152222E-4
1600000000375910524,1600000000375910523,,Food Menu,Quick Bites,,,10.02,157.0,1573.75,102.95,1470.80,0,0.11586715867158671,0.035186015239802776,0,0.08216241097629032,0.03685642832442077
1600000000375910526,1600000000375910525,1600000000375910524,Food Menu,Quick Bites,,Mozarella Sticks,9.99015625,61.0,609.40,33.19,576.21,0.3885350318471338,0.045018450184501846,0.013670999551770506,0.3917663856404678,0.03218847078368796,0.014439109712275288
1600000000375910528,1600000000375910527,1600000000375910524,Food Menu,Quick Bites,,Jalepeno Poppers,10.083023255813954,42.0,423.58,42.57,381.01,0.267515923566879,0.03099630996309963,0.00941281936351412,0.2590494968724504,0.0212841312252355,0.00954763921395673
1600000000375910530,1600000000375910529,1600000000375910524,Food Menu,Quick Bites,,Falafel,9.99,13.0,129.87,0.00,129.87,0.08280254777070063,0.00959409594095941,0.00291349170775437,0.08829888496056569,0.007254849274878178,0.003254381524675364
1600000000375910532,1600000000375910531,1600000000375910524,Food Menu,Quick Bites,,Onion Rings,10.044583333333334,24.0,241.07,11.70,229.37,0.15286624203821655,0.017712177121771217,0.005378753922008068,0.15594914332336143,0.012813157605134424,0.005747728423152292
1600000000375910540,1600000000375910539,1600000000375910524,Food Menu,Quick Bites,,Chicken Nuggets,9.99,17.0,169.83,15.49,154.34,0.10828025477707007,0.012546125461254613,0.003809950694755715,0.10493608920315475,0.008621802087354262,0.0038675694503610973
1600000000375910542,1600000000375910541,,Food Menu,Burgers,,,14.75,139.0,2050.03,174.61,1875.42,0,0.1025830258302583,0.03115194979829673,0,0.10476545335406201,0.0469957049280563
1600000000375910544,1600000000375910543,1600000000375910542,Food Menu,Burgers,,Sizzling Smash,14.33842105263158,73.0,1045.93,76.43,969.50,0.5251798561151079,0.05387453874538745,0.01636037651277454,0.5169508696718601,0.054158592222949054,0.024294470533400826
1600000000375910546,1600000000375910545,1600000000375910542,Food Menu,Burgers,,Double Down,16.393636363636364,43.0,705.33,57.26,648.07,0.30935251798561153,0.03173431734317343,0.009636934110264455,0.34555992790948165,0.036202742508433826,0.016239832406994403
1600000000375910548,1600000000375910547,1600000000375910542,Food Menu,Burgers,,3 Pointer,12.99,17.0,220.83,14.29,206.54,0.1223021582733813,0.012546125461254613,0.003809950694755715,0.11012999754721609,0.011537819120915829,0.005175636868456531
1600000000375910600,1600000000375910549,1600000000375910542,Food Menu,Burgers,,Victory Burger,12.99,6.0,77.94,26.63,51.31,0.04316546762589928,0.004428044280442804,0.001344688480502017,0.027359204871442132,0.0028662995017632964,0.0012857651192045348
1600000000375910602,1600000000375910601,,Food Menu,Wraps,,,14.61,31.0,452.91,119.91,333.00,0,0.022878228782287822,0.006947557149260422,0,0.018602177627892763,0.008344568011988112
1600000000375910604,1600000000375910603,1600000000375910602,Food Menu,Wraps,,Steak Wrap,16.47,8.0,130.16,7.99,122.17,0.25806451612903225,0.005904059040590406,0.0017929179740026895,0.36687687687687687,0.006824708831230207,0.0030614290511248882
